date,key_fingerprint,domain_count
2026-03-30,AD3+DQA59wAgACDkHIgL2b9I+pkqwuE4ewtwbItoIYtJamEzm4Gd/7aXdwAEAAEAAgAKY3liZXIuY2FmZQAA,1
2026-03-30,AD3+DQA5qgAgACCkp7s0t3xDM2w6KTHdKMh9AIIYqZtE8fCqioJTfUh9QwAEAAEAAQAKZ29vZ2xlLmNvbQAA,2
2026-03-30,AD7+DQA6JAAgACBSoBLuzZ4cW58Gw4tFHcGfcA8wSPRMdDDeEteTesfVXAAEAAEAAQALcG9ybmh1Yi5jb20AAA==,2
2026-03-30,ADv+DQA34QAgACAfp+tRRhRQ2FS2Dh+3eBu9XYkjisyKJ7gMca5FelPZQAAEAAEAAQAIZS52d3Auc3UAAA==,1
2026-03-30,AEH+DQA9JgAgACAY6/yqCQKAjZBHvzwzF/ZnadygxgJjpMYJDhsCG8b3HAAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,2
2026-03-30,AEH+DQA9kwAgACCxgr6gm71K7y7c5z5b+9o6Y6GTfP2Nxg8xu9EWvU6cSQAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,1
2026-03-30,AEP+DQA/hAAgACDXU+RNrdoLdDK+eh0PVKpE1XiqTaJ2YkuFOEKvmgrkHAAEAAEAAQAQc3BhY2VzLWdhbWVzLmNvbQAA,1
2026-03-30,AEP+DQA/mwAgACDiOWwV+YK/UCGldFBQMn77+oc0O+dmQcWXZ1fXXbfFXwAEAAEAAQAQd29ybGQ3OS5zcGNzLmJpbwAA,4
2026-03-30,AEP+DQA/ZAAgACAQl6+JD0EgImfsNsax1z7DChp28XMuJPw5+LPfIbvcAwAEAAEAAQAQdXN1YXJpb3Bvcm5vLmNvbQAA,2
2026-03-30,AET+DQBAAAAgACDXqwLxBUntEarlrF7Hc/zLAf2R75Y03RlvJ2PfZ6zDfgAIAAEAAQABAAMADWNvdmVyLmhha2Euc2UAAA==,1
2026-03-30,AEX+DQBB1gAgACCvmDN3i9Ji20moA6Ne6PFM/lOB2RgVoNOZN5iDZ/0YOwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,113483
2026-03-30,AEX+DQBBOwAgACCFt28uz4UJtPCp21OTiLLdCdSm/rt/X8AkwctizAB8BwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,1
2026-03-30,AEX+DQBBYAAgACCI7EbJcYubVXpwc3VXi1zrJPYDtq4IxtppzQnAERigSgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,58690
2026-03-30,ANb+DQBGcgAgACCezUyhqnu8aDWZ6BJLQhBoHfemBs2+ZuYrBk2Dj7PPGwAMAAEAAQABAAIAAQADHw9lY2guZXhhbXBsZS5uZXQAAP4NAESwACAAIIV4soz0W05R/h8h23SMHLei4L8Ij1GAmba2uJOGwPdeAAwAAQABAAEAAgABAAMdDWVjaC5oaWRlZC5uZXQAAP4NAEBsACAAILU5qfWEFfLqKjb3XVEC/ufXw5VSgag9Al1frRW+X7IwAAwAAQABAAEAAgABAAMZCWhpZGVkLm5ldAAA,1
2026-03-30,ASj+DQBEegAgACDB+ASToNZ6AUm+NwyVV9E0zB2KCExC9ciau42Ve3LdDwAMAAEAAQABAAIAAQADHQ1lY2guYmVsd2F5Lm1lAAD+DQBEVQAgACDtVtMTYEv+0H4mwI98D14uch2iHKAlPQHEN/Y9CtL+CwAMAAEAAQABAAIAAQADHQ1lY2guYmVsd2F5Lm1lAAD+DQBIgQAgACC4Ts/CBzfsK/E5vRnWouxnywrEbbumVuI9H6tXoU8tQwAMAAEAAQABAAIAAQADIRFlY2guYmVsd2F5LmZhbWlseQAA/g0ASPoAIAAgWdXSlNT8PQFFCWxeNyhnXt6QHWFlFQDuj6jqmUsZt3UADAABAAEAAQACAAEAAyERZWNoLmJlbHdheS5mYW1pbHkAAA==,1
2026-03-08,AD3+DQA5qgAgACCkp7s0t3xDM2w6KTHdKMh9AIIYqZtE8fCqioJTfUh9QwAEAAEAAQAKZ29vZ2xlLmNvbQAA,2
2026-03-08,AD7+DQA6JAAgACBSoBLuzZ4cW58Gw4tFHcGfcA8wSPRMdDDeEteTesfVXAAEAAEAAQALcG9ybmh1Yi5jb20AAA==,1
2026-03-08,ADv+DQA34QAgACAfp+tRRhRQ2FS2Dh+3eBu9XYkjisyKJ7gMca5FelPZQAAEAAEAAQAIZS52d3Auc3UAAA==,1
2026-03-08,AEH+DQA9JgAgACAY6/yqCQKAjZBHvzwzF/ZnadygxgJjpMYJDhsCG8b3HAAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,1
2026-03-08,AEH+DQA9kwAgACCxgr6gm71K7y7c5z5b+9o6Y6GTfP2Nxg8xu9EWvU6cSQAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,1
2026-03-08,AEP+DQA/hAAgACDXU+RNrdoLdDK+eh0PVKpE1XiqTaJ2YkuFOEKvmgrkHAAEAAEAAQAQc3BhY2VzLWdhbWVzLmNvbQAA,1
2026-03-08,AEP+DQA/mwAgACDiOWwV+YK/UCGldFBQMn77+oc0O+dmQcWXZ1fXXbfFXwAEAAEAAQAQd29ybGQ3OS5zcGNzLmJpbwAA,3
2026-03-08,AEP+DQA/ZAAgACAQl6+JD0EgImfsNsax1z7DChp28XMuJPw5+LPfIbvcAwAEAAEAAQAQdXN1YXJpb3Bvcm5vLmNvbQAA,2
2026-03-08,AET+DQBAAAAgACBFqQBphDqcOPZK8S1mNSl26JHZ6q/Biy6sZWm/75ncLQAIAAEAAQABAAMADWNvdmVyLmhha2Euc2UAAA==,1
2026-03-08,AEX+DQBBeAAgACAZtMebk2dMaDPfowmimosVuwCXh+WQ5tu8FXwxuOzZUAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,1
2026-03-08,AEX+DQBBLQAgACDJL93rRkL7z8yDglHGokri3gjFeCUIm7pOqP2HpzIXIwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,48490
2026-03-08,AEX+DQBBvQAgACBcWjPSHKPS8+AV9sUFHAwRpnw0iHyIP+woapAiGlvdfQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,96653
2026-03-08,AJT+DQBEegAgACDB+ASToNZ6AUm+NwyVV9E0zB2KCExC9ciau42Ve3LdDwAMAAEAAQABAAIAAQADHQ1lY2guYmVsd2F5Lm1lAAD+DQBIgQAgACC4Ts/CBzfsK/E5vRnWouxnywrEbbumVuI9H6tXoU8tQwAMAAEAAQABAAIAAQADIRFlY2guYmVsd2F5LmZhbWlseQAA,1
2026-03-08,ANb+DQBGcgAgACCezUyhqnu8aDWZ6BJLQhBoHfemBs2+ZuYrBk2Dj7PPGwAMAAEAAQABAAIAAQADHw9lY2guZXhhbXBsZS5uZXQAAP4NAESwACAAIIV4soz0W05R/h8h23SMHLei4L8Ij1GAmba2uJOGwPdeAAwAAQABAAEAAgABAAMdDWVjaC5oaWRlZC5uZXQAAP4NAEBsACAAILU5qfWEFfLqKjb3XVEC/ufXw5VSgag9Al1frRW+X7IwAAwAAQABAAEAAgABAAMZCWhpZGVkLm5ldAAA,1
2026-03-10,AD3+DQA5qgAgACCkp7s0t3xDM2w6KTHdKMh9AIIYqZtE8fCqioJTfUh9QwAEAAEAAQAKZ29vZ2xlLmNvbQAA,2
2026-03-10,AD7+DQA6JAAgACBSoBLuzZ4cW58Gw4tFHcGfcA8wSPRMdDDeEteTesfVXAAEAAEAAQALcG9ybmh1Yi5jb20AAA==,2
